NAVCOID	CAMPAIGN	LOCATION	BYEAR	EYEAR	TARGET	SUCCESS	LIMITED	FAILURE	ONGOING	NONVIOL	VIOL	REGCHANGE	FSELFDET	SECESSION	OTHER	DURATION	PARTICIPATION	PERCENTAGEPOPULARPARTICIPATION	REGVIOL	DEFECT	VIOLENTFLANK	VIOLSIM	REGAID	STATESUP
230.0	"Timorese resistance"	"East Timor"	1989.0	1999.0	"Indonesian occupation"	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3640.0	6000.0	0.006950324869768288	1.0	1.0	1.0	0.0	0.0	1.0
261.0	"Rebellion of the Forajidos"	"Ecuador"	2005.0	2005.0	"Ecuadorian President Colonel Lucio Gutierrez"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	7.0	100000.0	0.007280546314722146	1.0	1.0	0.0	0.0	0.0	0.0
384.0	"Egyptian Insurgency-Jamaat Al Islamiyya"	"Egypt"	1992.0	1999.0	"Gov't of Egpyt"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2487.0	1001.0	1.491517045231126E-5	1.0	0.0		0.0	0.0	0.0
118.0	"Kefaya"	"Egypt"	2000.0	2005.0	"Mubarak regime"	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1894.0	5000.0	6.512269526060078E-5	1.0	0.0	0.0	0.0	0.0	0.0
331.0	"Anti-Mubarak movement"	"Egypt"	2007.0	2011.0	"Government"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1201.0	250000.0	0.0029104435223719564	1.0	1.0	0.0	1.0	1.0	0.0
319.0	"Sinai Insurgency"	"Egypt"	2013.0	2014.0	"Sisi Government"	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	152.0	12000.0	1.2075381656776778E-4	1.0	0.0	0.0	0.0	0.0	0.0
262.0	"Anti-Morsi Protests"	"Egypt"	2013.0	2013.0	"President Morsi"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	9.0	1.4E7	0.15588910107251366	1.0	1.0	1.0	0.0	1.0	0.0
295.0	"Pro-Morsi Protests"	"Egypt"	2013.0	2014.0	"President Morsi"	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	338.0	700000.0	0.007624228692181417	1.0	0.0	1.0	0.0	1.0	0.0
191.0	"El Salvador anti-junta"	"El Salvador"	1977.0	1980.0	"Mil/civ junta"	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1375.0	10500.0	0.0022995055625039556	1.0	0.0	1.0	0.0	1.0	0.0
191.0	"Farabundo Marti National Liberation Front (FMLN)"	"El Salvador"	1979.0	1991.0	"El Salvador government"	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	4523.0	6000.0	0.0011264100541859556	1.0	1.0		1.0	1.0	0.0
199.0	"Shifta insurgency"	"Eritrea"	1945.0	1952.0	"UK occupation"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2815.0	1000.0	6.952937650922203E-4	1.0	0.0		0.0	0.0	0.0
376.0	"Metsavennad (Forest Brothers, Estonian Anti-Occupation Campaign)"	"Estonia"	1945.0	1953.0	"Soviet occupation"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3073.0	10000.0	0.009082652134423252	1.0	0.0		0.0	0.0	0.0
202.0	"Singing Revolution"	"Estonia"	1987.0	1991.0	"Communist regime"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1459.0	300000.0	0.19214584638323873	1.0	0.0	0.0	0.0	1.0	0.0
382.0	"Peoples’ Alliance for Freedom and Democracy"	"Ethiopia"	1973.0	2014.0	"Gov't of Ethiopia"	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	16290.0	20000.0	1.8280478255334554E-4	1.0	0.0		1.0	0.0	0.0
76.0	"Eritrean-led rebels"	"Ethiopia"	1974.0	1991.0	"Ethiopian government"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	6359.0	40000.0	8.028729524004928E-4	1.0	0.0		1.0	1.0	0.0
